LSOA code (2011);LSOA name (2011);Local Authority District code (2013);Local Authority District name (2013);IMD Score;IMD Rank (where 1 is most deprived);IMD Decile (where 1 is most deprived 10% of LSOAs);Income Score (rate);Income Rank (where 1 is most deprived);Income Decile (where 1 is most deprived 10% of LSOAs);Employment Score (rate);Employment Rank (where 1 is most deprived);Employment Decile (where 1 is most deprived 10% of LSOAs);Education, Skills and Training Score;Education, Skills and Training Rank (where 1 is most deprived);Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs);Health Deprivation and Disability Score;Health Deprivation and Disability Rank (where 1 is most deprived);Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs);Crime Score;Crime Rank (where 1 is most deprived);Crime Decile (where 1 is most deprived 10% of LSOAs);Barriers to Housing and Services Score;Barriers to Housing and Services Rank (where 1 is most deprived);Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs);Living Environment Score;Living Environment Rank (where 1 is most deprived);Living Environment Decile (where 1 is most deprived 10% of LSOAs)
E01000001;City of London 001A;E09000001;City of London;6,1;29111;9;0,0;32813;10;0,0;32716;10;0,0;32840;10;-1,9;32408;10;-1,6;32360;10;27,1;9056;3;34,5;6750;3
E01000002;City of London 001B;E09000001;City of London;6,3;28855;9;0,0;32780;10;0,0;32692;10;0,0;32836;10;-1,9;32431;10;-1,7;32436;10;26,4;9716;3;37,1;5711;2
E01000003;City of London 001C;E09000001;City of London;19,5;14621;5;0,1;17600;6;0,1;18133;6;9,6;22251;7;0,3;11639;4;-1,0;29256;9;31,9;5633;2;48,3;2593;1
E01000005;City of London 001E;E09000001;City of London;26,0;10285;4;0,2;7255;3;0,1;9641;3;15,0;17420;6;0,1;15392;5;-0,8;27804;9;35,1;3981;2;34,8;6620;3
E01032739;City of London 001F;E09000001;City of London;13,2;20497;7;0,0;32750;10;0,0;32793;10;1,7;31302;10;-1,0;28935;9;-0,9;28599;9;35,5;3822;2;65,9;392;1
E01032740;City of London 001G;E09000001;City of London;14,8;18868;6;0,0;31643;10;0,0;31733;10;0,0;32835;10;-0,2;18621;6;-1,0;29282;9;31,1;6063;2;75,5;79;1
E01000006;Barking and Dagenham 016A;E09000002;Barking and Dagenham;22,6;12345;4;0,1;14190;5;0,1;16938;6;14,5;17806;6;-0,4;21793;7;0,7;5849;2;39,7;2197;1;30,5;8440;3
E01000007;Barking and Dagenham 015A;E09000002;Barking and Dagenham;42,5;3778;2;0,3;3337;2;0,2;4952;2;9,5;22384;7;0,3;12549;4;1,2;2233;1;54,6;56;1;34,4;6783;3
E01000008;Barking and Dagenham 015B;E09000002;Barking and Dagenham;38,3;5028;2;0,3;3727;2;0,2;7233;3;27,3;9764;3;0,3;12034;4;0,5;8661;3;49,7;343;1;27,0;10265;4
E01000009;Barking and Dagenham 016B;E09000002;Barking and Dagenham;33,4;6750;3;0,2;7136;3;0,1;10781;4;13,0;19103;6;0,5;9107;3;1,1;2340;1;42,0;1597;1;34,5;6758;3
E01000010;Barking and Dagenham 015C;E09000002;Barking and Dagenham;30,9;7796;3;0,2;8548;3;0,1;20399;7;13,3;18825;6;0,1;14106;5;1,1;2517;1;51,2;199;1;38,2;5297;2
E01000011;Barking and Dagenham 016C;E09000002;Barking and Dagenham;30,1;8209;3;0,2;8170;3;0,1;15348;5;20,1;13663;5;0,0;16698;6;0,8;4880;2;48,1;525;1;31,7;7930;3
E01000012;Barking and Dagenham 015D;E09000002;Barking and Dagenham;36,9;5475;2;0,3;4886;2;0,1;12035;4;20,7;13286;5;-0,1;17852;6;0,9;4153;2;53,0;100;1;44,7;3395;2
E01000013;Barking and Dagenham 013A;E09000002;Barking and Dagenham;40,3;4416;2;0,3;5479;2;0,2;5910;2;30,5;8403;3;0,7;7200;3;1,5;749;1;34,4;4276;2;30,1;8629;3
E01000014;Barking and Dagenham 013B;E09000002;Barking and Dagenham;38,4;5014;2;0,2;5874;2;0,2;7634;3;34,6;6988;3;0,5;9500;3;1,5;717;1;35,6;3737;2;26,4;10606;4
E01000015;Barking and Dagenham 009A;E09000002;Barking and Dagenham;39,1;4765;2;0,3;3588;2;0,2;6594;3;28,3;9297;3;0,5;9280;3;0,6;7565;3;45,7;871;1;27,8;9817;3
E01000016;Barking and Dagenham 009B;E09000002;Barking and Dagenham;34,2;6446;2;0,3;5154;2;0,2;7129;3;30,8;8305;3;0,4;10370;4;0,8;5029;2;32,8;5115;2;22,6;12912;4
E01000017;Barking and Dagenham 009C;E09000002;Barking and Dagenham;40,6;4357;2;0,3;3642;2;0,2;4436;2;29,9;8614;3;0,9;5315;2;0,8;4943;2;33,9;4502;2;25,4;11145;4
E01000018;Barking and Dagenham 009D;E09000002;Barking and Dagenham;36,4;5631;2;0,3;4009;2;0,2;7042;3;33,2;7422;3;0,6;8631;3;0,9;3966;2;32,8;5081;2;18,5;15757;5
E01000019;Barking and Dagenham 023A;E09000002;Barking and Dagenham;34,6;6307;2;0,3;4613;2;0,2;5950;2;27,0;9901;4;0,1;14023;5;1,0;3021;1;31,1;6089;2;20,5;14287;5
E01000020;Barking and Dagenham 023B;E09000002;Barking and Dagenham;32,9;6960;3;0,2;5974;2;0,2;7761;3;27,5;9672;3;0,7;6940;3;0,6;7846;3;32,4;5351;2;23,1;12573;4
E01000021;Barking and Dagenham 008A;E09000002;Barking and Dagenham;40,8;4273;2;0,3;3978;2;0,2;6346;2;32,2;7746;3;0,7;7623;3;1,0;3482;2;35,1;4001;2;43,6;3692;2
E01000022;Barking and Dagenham 008B;E09000002;Barking and Dagenham;31,6;7478;3;0,2;7108;3;0,2;6947;3;30,8;8287;3;0,2;12941;4;0,6;8150;3;33,9;4493;2;24,5;11704;4
E01000023;Barking and Dagenham 008C;E09000002;Barking and Dagenham;38,6;4931;2;0,3;3447;2;0,1;10651;4;28,8;9077;3;0,5;9828;3;1,5;784;1;34,9;4055;2;30,6;8389;3
E01000024;Barking and Dagenham 008D;E09000002;Barking and Dagenham;30,9;7790;3;0,2;6690;3;0,1;9267;3;30,9;8242;3;0,5;9064;3;0,3;11610;4;33,7;4631;2;25,7;10993;4
E01000025;Barking and Dagenham 008E;E09000002;Barking and Dagenham;36,0;5772;2;0,3;5188;2;0,2;6574;3;30,7;8345;3;0,6;8274;3;0,8;4918;2;34,0;4470;2;26,8;10339;4
E01000027;Barking and Dagenham 001A;E09000002;Barking and Dagenham;42,0;3924;2;0,3;3530;2;0,2;6518;2;46,6;3828;2;0,6;8060;3;1,3;1592;1;37,2;3054;1;17,3;16620;6
E01000028;Barking and Dagenham 001B;E09000002;Barking and Dagenham;43,1;3617;2;0,3;2540;1;0,2;4211;2;28,1;9352;3;1,5;1744;1;0,2;12893;4;38,7;2512;1;13,1;20318;7
E01000029;Barking and Dagenham 001C;E09000002;Barking and Dagenham;26,7;9890;4;0,1;13523;5;0,1;14189;5;19,0;14483;5;0,1;14024;5;1,1;2282;1;41,5;1717;1;19,1;15264;5
E01000030;Barking and Dagenham 001D;E09000002;Barking and Dagenham;41,3;4130;2;0,3;2853;1;0,2;6305;2;38,6;5743;2;0,4;10294;4;0,9;4184;2;42,8;1427;1;21,9;13365;5
E01000031;Barking and Dagenham 002A;E09000002;Barking and Dagenham;25,1;10820;4;0,1;13154;5;0,1;12500;4;13,0;19106;6;0,0;16658;6;1,4;889;1;26,6;9476;3;26,1;10770;4
E01000032;Barking and Dagenham 002B;E09000002;Barking and Dagenham;30,4;8063;3;0,2;10212;4;0,1;10361;4;23,5;11620;4;0,4;10571;4;1,2;1874;1;29,3;7289;3;33,9;6988;3
E01000033;Barking and Dagenham 006A;E09000002;Barking and Dagenham;41,4;4101;2;0,3;3477;2;0,2;4157;2;36,8;6261;2;0,5;9572;3;0,4;10990;4;45,9;837;1;23,5;12307;4
E01000034;Barking and Dagenham 003A;E09000002;Barking and Dagenham;37,0;5459;2;0,3;4361;2;0,2;7056;3;32,8;7572;3;0,9;5509;2;0,5;9497;3;40,8;1901;1;14,5;18939;6
E01000035;Barking and Dagenham 010A;E09000002;Barking and Dagenham;27,0;9728;3;0,2;8965;3;0,1;11546;4;22,4;12250;4;0,3;11643;4;0,6;7120;3;32,7;5161;2;23,0;12603;4
E01000036;Barking and Dagenham 010B;E09000002;Barking and Dagenham;20,9;13503;5;0,1;13220;5;0,1;15950;5;18,8;14656;5;-0,1;18302;6;0,7;6610;3;24,8;11250;4;30,9;8277;3
E01000037;Barking and Dagenham 003B;E09000002;Barking and Dagenham;20,1;14189;5;0,1;12774;4;0,2;8692;3;19,5;14137;5;-0,3;21205;7;-0,3;21353;7;25,0;11027;4;18,2;15997;5
E01000038;Barking and Dagenham 003C;E09000002;Barking and Dagenham;19,1;14938;5;0,1;13158;5;0,1;12448;4;18,6;14731;5;0,0;16747;6;0,1;14919;5;24,0;12008;4;16,2;17494;6
E01000039;Barking and Dagenham 003D;E09000002;Barking and Dagenham;23,5;11760;4;0,2;11851;4;0,1;14756;5;22,3;12295;4;0,2;13726;5;0,5;8638;3;35,9;3593;2;16,2;17496;6
E01000040;Barking and Dagenham 019A;E09000002;Barking and Dagenham;34,7;6266;2;0,3;4744;2;0,2;5777;2;27,2;9773;3;0,2;13544;5;0,7;6022;2;34,3;4360;2;26,4;10554;4
E01000041;Barking and Dagenham 017A;E09000002;Barking and Dagenham;34,7;6254;2;0,2;7487;3;0,2;8794;3;37,7;6004;2;0,4;10584;4;1,0;3483;2;37,4;2985;1;29,2;9054;3
E01000042;Barking and Dagenham 017B;E09000002;Barking and Dagenham;43,9;3446;2;0,3;2070;1;0,2;3127;1;33,4;7357;3;0,4;10700;4;0,5;8606;3;42,5;1515;1;24,5;11713;4
E01000043;Barking and Dagenham 019B;E09000002;Barking and Dagenham;33,7;6612;3;0,2;6127;2;0,2;8667;3;32,1;7784;3;0,4;11250;4;1,0;3228;1;32,7;5146;2;27,5;9949;4
E01000044;Barking and Dagenham 016D;E09000002;Barking and Dagenham;31,1;7728;3;0,2;8688;3;0,1;13483;5;22,6;12107;4;-0,1;17765;6;1,6;506;1;32,3;5376;2;36,8;5817;2
E01000045;Barking and Dagenham 017C;E09000002;Barking and Dagenham;37,9;5172;2;0,3;4673;2;0,2;8662;3;27,0;9897;4;0,3;12082;4;1,4;1165;1;34,2;4381;2;41,4;4302;2
E01000046;Barking and Dagenham 017D;E09000002;Barking and Dagenham;31,1;7720;3;0,2;6405;2;0,2;8972;3;31,3;8085;3;0,2;13098;4;0,3;11698;4;37,2;3050;1;26,1;10760;4
E01000048;Barking and Dagenham 021B;E09000002;Barking and Dagenham;49,3;2351;1;0,4;1149;1;0,2;2660;1;25,8;10440;4;0,9;5629;2;0,3;11925;4;50,7;252;1;23,0;12615;4
E01000049;Barking and Dagenham 021C;E09000002;Barking and Dagenham;41,4;4106;2;0,3;3191;1;0,2;7021;3;28,6;9141;3;0,5;9514;3;0,8;5679;2;51,6;172;1;25,9;10841;4
E01000050;Barking and Dagenham 019C;E09000002;Barking and Dagenham;35,7;5865;2;0,2;7662;3;0,1;10071;4;25,8;10451;4;0,6;8650;3;1,2;1909;1;38,0;2751;1;42,0;4151;2
E01000051;Barking and Dagenham 021D;E09000002;Barking and Dagenham;42,7;3733;2;0,3;2433;1;0,2;5289;2;29,7;8717;3;0,5;8986;3;0,5;8421;3;48,2;522;1;27,8;9792;3
E01000052;Barking and Dagenham 019D;E09000002;Barking and Dagenham;31,6;7488;3;0,2;6896;3;0,1;10831;4;28,5;9195;3;0,2;12669;4;0,8;5207;2;36,6;3296;2;31,4;8042;3
E01000053;Barking and Dagenham 020A;E09000002;Barking and Dagenham;42,1;3891;2;0,3;4018;2;0,2;6632;3;29,1;8961;3;0,9;5222;2;1,4;1153;1;37,7;2887;1;30,0;8637;3
E01000054;Barking and Dagenham 018A;E09000002;Barking and Dagenham;32,8;7014;3;0,2;6398;2;0,1;10328;4;27,0;9906;4;0,2;12953;4;1,4;1250;1;32,5;5291;2;24,3;11847;4
E01000055;Barking and Dagenham 018B;E09000002;Barking and Dagenham;32,6;7078;3;0,2;6537;2;0,2;8517;3;31,1;8152;3;-0,1;17663;6;1,2;2273;1;34,1;4431;2;24,2;11921;4
E01000056;Barking and Dagenham 018C;E09000002;Barking and Dagenham;42,4;3808;2;0,3;3992;2;0,2;5648;2;26,5;10164;4;0,9;5609;2;1,3;1634;1;42,9;1404;1;24,4;11738;4
E01000057;Barking and Dagenham 012A;E09000002;Barking and Dagenham;40,2;4455;2;0,3;4634;2;0,2;5843;2;33,5;7312;3;0,4;10510;4;1,5;782;1;34,5;4230;2;27,9;9730;3
E01000058;Barking and Dagenham 018D;E09000002;Barking and Dagenham;31,6;7479;3;0,2;6160;2;0,2;8315;3;26,2;10286;4;0,1;14163;5;0,7;6322;2;35,8;3641;2;26,1;10737;4
E01000059;Barking and Dagenham 013C;E09000002;Barking and Dagenham;38,3;5047;2;0,3;4691;2;0,2;5457;2;27,4;9702;3;0,2;13610;5;1,3;1299;1;35,5;3821;2;27,8;9777;3
E01000060;Barking and Dagenham 006B;E09000002;Barking and Dagenham;40,9;4259;2;0,3;4136;2;0,2;5900;2;23,3;11765;4;0,7;7511;3;1,5;660;1;39,5;2253;1;20,6;14202;5
E01000061;Barking and Dagenham 006C;E09000002;Barking and Dagenham;56,6;1277;1;0,4;617;1;0,3;2356;1;43,4;4485;2;1,0;4569;2;0,8;5663;2;54,2;65;1;16,7;17086;6
E01000062;Barking and Dagenham 006D;E09000002;Barking and Dagenham;31,3;7633;3;0,2;7277;3;0,1;10782;4;32,5;7683;3;0,2;13669;5;1,2;2085;1;33,8;4579;2;17,5;16460;6
E01000063;Barking and Dagenham 004A;E09000002;Barking and Dagenham;34,8;6231;2;0,2;5926;2;0,2;7224;3;36,0;6523;2;0,3;12060;4;1,0;3305;2;32,9;5032;2;24,6;11656;4
E01000064;Barking and Dagenham 006E;E09000002;Barking and Dagenham;35,2;6050;2;0,2;5762;2;0,2;7733;3;31,1;8146;3;0,8;5972;2;0,3;11487;4;36,9;3170;1;31,9;7843;3
E01000065;Barking and Dagenham 007A;E09000002;Barking and Dagenham;39,7;4604;2;0,3;4733;2;0,2;5327;2;28,8;9073;3;1,1;3616;2;0,7;6244;2;36,9;3173;1;25,8;10903;4
E01000066;Barking and Dagenham 011A;E09000002;Barking and Dagenham;24,2;11307;4;0,2;12039;4;0,1;11912;4;20,2;13615;5;0,2;13793;5;0,4;10686;4;38,1;2707;1;15,9;17730;6
E01000067;Barking and Dagenham 011B;E09000002;Barking and Dagenham;21,0;13473;5;0,2;11250;4;0,1;16419;5;17,4;15606;5;-0,2;19452;6;0,6;7984;3;32,5;5245;2;17,7;16370;5
E01000068;Barking and Dagenham 016E;E09000002;Barking and Dagenham;26,0;10292;4;0,2;11550;4;0,1;15677;5;15,0;17504;6;0,0;15878;5;1,2;2024;1;39,5;2250;1;21,5;13582;5
E01000069;Barking and Dagenham 011C;E09000002;Barking and Dagenham;15,8;17845;6;0,1;17702;6;0,1;18273;6;16,1;16557;6;-0,2;19777;7;0,3;11627;4;25,0;11077;4;18,8;15570;5
E01000070;Barking and Dagenham 011D;E09000002;Barking and Dagenham;20,9;13517;5;0,1;13998;5;0,1;15265;5;15,1;17358;6;-0,5;22949;7;0,9;4312;2;30,4;6507;2;24,5;11698;4
E01000071;Barking and Dagenham 011E;E09000002;Barking and Dagenham;18,3;15618;5;0,1;12559;4;0,1;21513;7;15,9;16753;6;-0,1;18057;6;0,2;13706;5;32,9;5021;2;20,0;14639;5
E01000072;Barking and Dagenham 017E;E09000002;Barking and Dagenham;44,3;3339;2;0,3;4319;2;0,2;6679;3;35,4;6730;3;0,7;7488;3;1,5;636;1;43,2;1359;1;35,7;6265;2
E01000073;Barking and Dagenham 012B;E09000002;Barking and Dagenham;39,5;4652;2;0,3;5189;2;0,2;7138;3;37,7;5991;2;0,7;6621;3;1,4;911;1;32,9;5043;2;22,8;12756;4
E01000074;Barking and Dagenham 012C;E09000002;Barking and Dagenham;35,3;6035;2;0,3;5018;2;0,2;8350;3;30,9;8265;3;0,9;5374;2;0,7;6680;3;35,8;3657;2;19,6;14944;5
E01000075;Barking and Dagenham 012D;E09000002;Barking and Dagenham;38,6;4926;2;0,2;6152;2;0,2;8547;3;33,0;7489;3;0,3;12021;4;1,7;428;1;36,2;3484;2;36,3;6009;2
E01000076;Barking and Dagenham 012E;E09000002;Barking and Dagenham;39,0;4787;2;0,3;5360;2;0,2;5072;2;37,9;5920;2;0,7;7236;3;0,7;6145;2;40,0;2137;1;23,3;12427;4
E01000077;Barking and Dagenham 008F;E09000002;Barking and Dagenham;36,7;5549;2;0,3;5028;2;0,2;6213;2;34,5;7009;3;0,4;10138;4;0,7;6036;2;34,6;4175;2;32,4;7592;3
E01000078;Barking and Dagenham 007B;E09000002;Barking and Dagenham;37,0;5435;2;0,3;3847;2;0,2;8895;3;35,1;6840;3;0,2;13365;5;1,1;2512;1;35,4;3855;2;30,2;8563;3
E01000079;Barking and Dagenham 009E;E09000002;Barking and Dagenham;37,5;5302;2;0,3;5300;2;0,2;6830;3;29,9;8613;3;0,8;6384;2;0,9;4449;2;39,1;2380;1;24,2;11866;4
E01000080;Barking and Dagenham 007C;E09000002;Barking and Dagenham;34,1;6505;2;0,2;5965;2;0,2;5991;2;26,0;10366;4;0,5;9697;3;0,6;7068;3;37,3;3034;1;21,0;13948;5
E01000081;Barking and Dagenham 007D;E09000002;Barking and Dagenham;31,7;7418;3;0,2;8504;3;0,2;8765;3;32,5;7667;3;0,5;9561;3;0,9;4742;2;33,7;4628;2;24,4;11781;4
E01000082;Barking and Dagenham 007E;E09000002;Barking and Dagenham;32,1;7276;3;0,2;6810;3;0,2;7558;3;27,7;9573;3;0,4;10027;4;0,7;6984;3;32,3;5400;2;28,4;9451;3
E01000083;Barking and Dagenham 007F;E09000002;Barking and Dagenham;38,2;5076;2;0,3;3503;2;0,2;6784;3;28,0;9411;3;0,6;8574;3;0,9;4282;2;35,1;3977;2;30,7;8369;3
E01000084;Barking and Dagenham 013D;E09000002;Barking and Dagenham;41,8;3973;2;0,3;3963;2;0,2;6766;3;42,7;4659;2;0,5;9588;3;1,5;689;1;33,2;4877;2;29,0;9187;3
E01000085;Barking and Dagenham 013E;E09000002;Barking and Dagenham;38,8;4861;2;0,2;5601;2;0,2;6419;2;36,3;6408;2;0,4;10193;4;1,1;2613;1;40,9;1893;1;27,7;9868;4
E01000086;Barking and Dagenham 013F;E09000002;Barking and Dagenham;37,9;5157;2;0,2;5541;2;0,2;7176;3;28,1;9369;3;0,9;4900;2;1,2;1738;1;32,6;5176;2;25,6;11036;4
E01000087;Barking and Dagenham 020B;E09000002;Barking and Dagenham;34,4;6382;2;0,2;5611;2;0,2;7836;3;31,0;8192;3;0,7;7563;3;0,4;11003;4;36,8;3208;1;29,4;8979;3
E01000088;Barking and Dagenham 020C;E09000002;Barking and Dagenham;30,2;8154;3;0,2;8654;3;0,1;10305;4;24,9;10928;4;0,6;8606;3;0,6;7156;3;33,2;4879;2;33,4;7207;3
